BOS	MEM	04/10/22	W	240.0	139.0	54.0	99.0	54.5	18.0	48.0	37.5	13.0	13.0	100.0	14.0	42.0	56.0	34.0	5.0	2.0	15.0	20.0	29.0
BOS	NYK	10/20/21	L	290.0	134.0	48.0	117.0	41.0	21.0	57.0	36.8	17.0	23.0	73.9	15.0	41.0	56.0	34.0	13.0	9.0	18.0	24.0	-4.0
BOS	OKC	03/21/22	W	240.0	132.0	44.0	86.0	51.2	15.0	40.0	37.5	29.0	34.0	85.3	6.0	36.0	42.0	22.0	8.0	7.0	9.0	18.0	9.0
BOS	PHI	02/15/22	W	240.0	135.0	46.0	82.0	56.1	25.0	45.0	55.6	18.0	22.0	81.8	7.0	44.0	51.0	28.0	2.0	10.0	11.0	25.0	48.0
BOS	POR	12/04/21	W	240.0	145.0	49.0	87.0	56.3	21.0	37.0	56.8	26.0	29.0	89.7	12.0	34.0	46.0	26.0	5.0	7.0	12.0	21.0	28.0
BOS	SAC	03/18/22	W	240.0	126.0	46.0	82.0	56.1	22.0	40.0	55.0	12.0	17.0	70.6	6.0	37.0	43.0	33.0	11.0	1.0	13.0	23.0	29.0
BOS	UTA	12/03/21	L	240.0	130.0	47.0	91.0	51.6	14.0	39.0	35.9	22.0	22.0	100.0	5.0	25.0	30.0	23.0	9.0	3.0	6.0	22.0	-7.0
BOS	BKN	03/06/22	W	240.0	126.0	40.0	83.0	48.2	17.0	36.0	47.2	29.0	38.0	76.3	10.0	27.0	37.0	25.0	9.0	7.0	10.0	19.0	6.0
BOS	IND	04/01/22	W	240.0	128.0	45.0	83.0	54.2	12.0	33.0	36.4	26.0	28.0	92.9	11.0	29.0	40.0	29.0	7.0	4.0	16.0	19.0	5.0
BOS	LAL	11/19/21	W	240.0	130.0	44.0	88.0	50.0	11.0	30.0	36.7	31.0	38.0	81.6	12.0	39.0	51.0	22.0	7.0	2.0	14.0	20.0	22.0
BOS	MIN	03/27/22	W	240.0	134.0	49.0	87.0	56.3	17.0	39.0	43.6	19.0	21.0	90.5	10.0	35.0	45.0	27.0	7.0	5.0	13.0	20.0	22.0
BOS	SAC	01/25/22	W	240.0	128.0	51.0	103.0	49.5	20.0	45.0	44.4	6.0	7.0	85.7	17.0	50.0	67.0	32.0	6.0	6.0	11.0	12.0	53.0
BOS	WAS	04/03/22	W	240.0	144.0	56.0	91.0	61.5	23.0	44.0	52.3	9.0	13.0	69.2	7.0	32.0	39.0	39.0	6.0	5.0	8.0	20.0	42.0
CHA	ATL	12/05/21	W	240.0	130.0	46.0	86.0	53.5	17.0	37.0	45.9	21.0	28.0	75.0	7.0	32.0	39.0	21.0	9.0	3.0	6.0	18.0	3.0
CHA	CHI	04/08/22	W	240.0	133.0	52.0	86.0	60.5	19.0	40.0	47.5	10.0	10.0	100.0	8.0	30.0	38.0	34.0	7.0	4.0	11.0	21.0	16.0
CHA	DET	02/11/22	W	240.0	141.0	54.0	97.0	55.7	18.0	42.0	42.9	15.0	23.0	65.2	15.0	36.0	51.0	36.0	13.0	2.0	18.0	22.0	22.0
